timestep;mesh  1  face  centerpoint;mesh  1  color  code;mesh  1  normal;Mesh  1  face  centerpoint  to  Mesh  1  face  n+1  centerpoint  distance;Mesh  1  face  centerpoint  vector  to  Mesh  1  face  n+1  centerpoint  vector  angle
156;(438.25,  164.25,  25);(3,190,209);(0.71,  0.71,  -0.01);0.5;0.06
156;(439.25,  163,  25);(4,184,224);(0.89,  0.45,  -0.02);1.6;0.19
156;(440,  163.5,  25);(2,190,228);(-0.88,  0.44,  0.18);0.9;0.03
156;(428.75,  164.25,  25);(5,188,193);(0.02,  -1,  -0.04);11.27;0.58
156;(417.5,  164.25,  25);(5,189,198);(-0.4,  0.8,  -0.45);11.25;0.52
156;(419.75,  165,  25);(2,190,228);(-0.25,  0.88,  -0.4);2.37;0.02
156;(362.75,  147.33,  25);(11,184,146);(0.12,  0.65,  -0.75);70.75;4.74
156;(320.5,  125.25,  25);(16,179,104);(-0.62,  0.79,  0);4.37;0.06
156;(320.75,  128,  25);(13,182,133);(0,  -0.96,  0.27);2.76;0.41
156;(305.25,  134.25,  25);(31,96,175);(-0.45,  -0.89,  0);16.71;1.98
156;(294,  140.75,  25);(89,190,10);(-0.21,  0.84,  -0.5);12.99;1.84
156;(386.5,  159.75,  25);(3,191,215);(1,  0,  -0.04);38.57;1.92
156;(386,  159,  25);(17,179,99);(0.71,  -0.71,  0.04);0.9;0.07
156;(381,  158.75,  25);(12,183,139);(-0.06,  -1,  -0.07);5.01;0.24
156;(376.5,  160,  25);(87,189,9);(-0.89,  0,  -0.45);4.67;0.4
156;(375.75,  160.75,  25);(2,191,221);(0.32,  -0.95,  0.08);1.06;0.14
156;(368,  158.5,  25);(3,191,215);(0.27,  -0.96,  0.08);8.07;0.16
156;(405,  156.25,  25);(87,189,9);(0.01,  1,  -0.02);37.07;2.22
156;(449.75,  156.75,  25);(100,194,12);(-0.27,  0.27,  0.93);44.75;1.9
156;(446.25,  158,  25);(3,190,210);(-0.11,  -0.94,  0.33);3.72;0.28
156;(441,  158.5,  25);(2,191,221);(0,  -1,  -0.02);5.27;0.27
156;(388,  159,  25);(100,194,12);(-0.01,  -1,  0.07);53.0;2.54
