593154149.98,-856347027.42,2376879500.82,623354416.75,-749879156.03,2377169407.74,596731924.17,-750986417.06,2376031101.44
A1,A2,A3,B1,B2,B3,C1,C2,C3
590952774.61,-851422878.45,2388278997.47,615251185.74,-731594630.11,2388187056.79,615967847.58,-785805804.10,2388733955.74
A1,A2,A3,B1,B2,B3,C1,C2,C3
590027149.60,-842913820.31,2399725716.85,606180611.40,-717904032.84,2399232976.12,634915708.65,-819642619.74,2401441317.03
A1,A2,A3,B1,B2,B3,C1,C2,C3
591997328.36,-831662017.75,2411297585.05,597332271.51,-707195333.02,2410343156.78,650765876.19,-853266730.45,2414039268.17
A1,A2,A3,B1,B2,B3,C1,C2,C3
596592090.73,-819718108.74,2423002415.36,588788792.12,-698913160.46,2421515878.46,663706944.29,-885182868.42,2426521716.17
A1,A2,A3,B1,B2,B3,C1,C2,C3
602490283.96,-807575289.51,2434787889.80,580642624.80,-692845242.97,2432753110.42,674967614.15,-915110109.65,2438939009.79
A1,A2,A3,B1,B2,B3,C1,C2,C3
608897410.97,-795059523.40,2446618066.73,573038103.63,-688884598.18,2444060062.91,685198048.77,-943329473.14,2451321880.35
A1,A2,A3,B1,B2,B3,C1,C2,C3
615310802.22,-781981045.48,2458469448.17,566165539.58,-686954470.28,2455444217.98,694710606.72,-970107479.66,2463686343.84
A1,A2,A3,B1,B2,B3,C1,C2,C3
621328508.59,-768221414.61,2470323561.37,560256703.12,-686972174.51,2466914790.34,703675466.63,-995645255.07,2476041658.29
A1,A2,A3,B1,B2,B3,C1,C2,C3
626578532.58,-753745919.49,2482164023.03,555580802.37,-688821755.31,2478482293.58,712195417.92,-1020093466.26,2488393693.39
A1,A2,A3,B1,B2,B3,C1,C2,C3
630696022.63,-738616484.38,2493975677.95,552436016.18,-692326163.05,2490157910.02,720337133.25,-1043567238.59,2500746422.03
A1,A2,A3,B1,B2,B3,C1,C2,C3
633328322.39,-723011645.01,2505745007.09,551129531.01,-697217134.13,2501952342.52,728146082.55,-1066156299.94,2513102660.39
A1,A2,A3,B1,B2,B3,C1,C2,C3
634166943.45,-707246483.92,2517461697.04,551937592.32,-703108601.61,2513873837.49,735654508.76,-1087931634.70,2525464475.47
A1,A2,A3,B1,B2,B3,C1,C2,C3
633006835.30,-691774558.44,2529121216.06,555041520.05,-709490295.33,2525925362.85,742886142.43,-1108949955.68,2537833431.09
A1,A2,A3,B1,B2,B3,C1,C2,C3
629817853.23,-677147169.39,2540727510.48,560453201.13,-715765309.07,2538101750.32,749859241.37,-1129256868.32,2550210749.20
A1,A2,A3,B1,B2,B3,C1,C2,C3
624788747.96,-663920678.81,2552294020.90,567969024.04,-721340375.77,2550388566.76,756588666.35,-1148889277.63,2562597422.35
A1,A2,A3,B1,B2,B3,C1,C2,C3
618303155.70,-652544692.47,2563841581.78,577192474.48,-725735719.55,2562764134.81,763087295.49,-1167877353.69,2574994293.41
A1,A2,A3,B1,B2,B3,C1,C2,C3
610852136.20,-643290371.26,2575393964.88,587620716.18,-728655089.36,2575203935.72,769366905.30,-1186246186.69,2587402109.39
A1,A2,A3,B1,B2,B3,C1,C2,C3
602934551.92,-636247901.43,2586973556.21,598743767.89,-729986931.37,2587684900.32,775438614.55,-1204017144.22,2599821553.47
A1,A2,A3,B1,B2,B3,C1,C2,C3
594991084.21,-631371303.53,2598598935.02,610110357.57,-729758539.79,2600187814.47,781313013.95,-1221208911.47,2612253260.52
A1,A2,A3,B1,B2,B3,C1,C2,C3
587380342.09,-628532982.98,2610284362.09,621351863.25,-728080773.92,2612697826.01,787000116.45,-1237838223.78,2624697821.90
A1,A2,A3,B1,B2,B3,C1,C2,C3
580382194.11,-627566206.75,2622040327.78,632179098.31,-725105108.96,2625203897.27,792509240.12,-1253920338.94,2637155784.95
A1,A2,A3,B1,B2,B3,C1,C2,C3
574212115.40,-628291307.34,2633874420.52,642368078.07,-720997153.48,2637697938.79,797848894.49,-1269469315.88,2649627650.68
A1,A2,A3,B1,B2,B3,C1,C2,C3
569037092.93,-630529216.63,2645792142.04,651744190.81,-715922966.60,2650173996.00,803026704.35,-1284498163.62,2662113871.96
A1,A2,A3,B1,B2,B3,C1,C2,C3
564989310.06,-634106966.16,2657797550.21,660168543.02,-710043487.18,2662627606.96,808049379.81,-1299018911.75,2674614852.83
A1,A2,A3,B1,B2,B3,C1,C2,C3
562176763.07,-638858560.99,2669893725.52,667527330.80,-703513632.30,2675055335.12,812922728.50,-1313042638.13,2687130949.36
A1,A2,A3,B1,B2,B3,C1,C2,C3
560691068.83,-644623259.58,2682083091.66,673723987.03,-696484009.67,2687454446.74,817651700.68,-1326579476.60,2699662471.60
A1,A2,A3,B1,B2,B3,C1,C2,C3
560612964.63,-651242308.00,2694367621.71,678673613.27,-689104182.40,2699822701.68,822240457.50,-1339638617.97,2712209686.62
A1,A2,A3,B1,B2,B3,C1,C2,C3
562015896.77,-658554560.88,2706748951.38,682299307.65,-681527046.88,2712158236.60,826692454.53,-1352228311.21,2724772822.02
A1,A2,A3,B1,B2,B3,C1,C2,C3
564967851.77,-666391049.26,2719228406.31,684530240.79,-673914260.08,2724459533.59,831010534.61,-1364355868.33,2737352070.10
A1,A2,A3,B1,B2,B3,C1,C2,C3
569531242.29,-674568336.56,2731806933.89,685301671.15,-666442873.19,2736725483.99,835197026.65,-1376027674.70,2749947592.12
A1,A2,A3,B1,B2,B3,C1,C2,C3
575760172.80,-682880424.62,2744484908.26,684557576.57,-659313408.56,2748955578.78,839253848.32,-1387249206.17,2762559522.95
A1,A2,A3,B1,B2,B3,C1,C2,C3
583693676.78,-691089133.44,2757261746.90,682257311.16,-652759454.02,2761150287.21,843182612.04,-1398025054.86,2775187975.89
A1,A2,A3,B1,B2,B3,C1,C2,C3
593342448.64,-698913618.51,2770135238.29,678388764.72,-647058107.75,2773311724.04,846984733.59,-1408358967.12,2787833047.68
A1,A2,A3,B1,B2,B3,C1,C2,C3
604665367.89,-706021770.71,2783100446.96,672991729.21,-642538523.29,2785444739.26,850661541.50,-1418253898.54,2800494823.78
A1,A2,A3,B1,B2,B3,C1,C2,C3
617531999.51,-712030930.15,2796148102.14,666195292.88,-639581116.68,2797558524.19,854214382.56,-1427712092.95,2813173383.67
A1,A2,A3,B1,B2,B3,C1,C2,C3
631672363.59,-716533066.92,2809262669.70,658267980.09,-638592276.36,2809668534.51,857644712.30,-1436735191.84,2825868805.79
A1,A2,A3,B1,B2,B3,C1,C2,C3
646632726.29,-719164128.30,2822421104.51,649661903.51,-639934874.61,2821797734.17,860954151.91,-1445324375.65,2838581171.32
A1,A2,A3,B1,B2,B3,C1,C2,C3
661783387.48,-719717942.67,2835594270.57,641004977.07,-643814203.65,2833975173.71,864144487.55,-1453480523.76,2851310565.72
A1,A2,A3,B1,B2,B3,C1,C2,C3
