Year,mesh 1 face centerpoint,mesh 1 color code,mesh 1 normal,Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance,Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
2015,"(9.66, 5.66, 6.57)","(243,57,0)","(-0.05, 0.79, -0.61)",4.6,0.12
2015,"(6.25, 3.65, 4.23)","(243,57,0)","(-0.07, -0.71, 0.7)",2.19,3.2
2015,"(4.87, 2.57, 2.92)","(243,57,0)","(0.03, 0.76, -0.65)",3.77,5.62
2015,"(2.08, 0.91, 1)","(243,57,0)","(-0.06, 0.8, -0.6)",0.99,2.52
2015,"(1.22, 0.58, 0.65)","(243,57,0)","(0.06, -0.8, 0.59)",16.26,3.11
2015,"(14.98, 6.44, 7.02)","(243,57,0)","(0.07, -0.8, 0.59)",0.15,0.23
2015,"(14.83, 6.42, 7.02)","(243,57,0)","(-0.07, 0.81, -0.58)",14.75,5.8
2014,"(94.88, 38.06, 41.2)","(243,57,0)","(0.02, -0.75, 0.66)",41.03,0.46
2014,"(150.4, 58.69, 63.43)","(243,57,0)","(0.02, -0.75, 0.66)",63.26,0.71
2014,"(5.86, 1.2, 1.24)","(243,57,0)","(-0.02, 0.76, -0.65)",0.26,0.45
2014,"(2.89, 0.58, 0.6)","(243,57,0)","(-0.02, 0.76, -0.65)",3.1,0.3
2014,"(2, 0.6, 0.64)","(243,57,0)","(0.02, -0.75, 0.66)",0.89,7.58
2014,"(3.99, 1.23, 1.31)","(243,57,0)","(0.02, -0.75, 0.66)",2.19,0.56
2014,"(11, 3.99, 4.29)","(243,57,0)","(0.01, -0.75, 0.66)",8.1,3.8
2014,"(9.5, 3.57, 3.85)","(243,57,0)","(-0.02, 0.75, -0.66)",1.62,0.89
2014,"(2.91, 1.03, 1.11)","(243,57,0)","(0.02, -0.75, 0.66)",7.58,1.44
2014,"(3.92, 1.4, 1.51)","(243,57,0)","(-0.02, 0.75, -0.66)",1.15,0.22
2014,"(3.32, 1.23, 1.32)","(243,57,0)","(-0.05, 0.78, -0.62)",0.65,0.81
2014,"(2.82, 1.08, 1.16)","(243,57,0)","(0, 0.74, -0.67)",0.55,0.82
2014,"(2.72, 1.05, 1.13)","(243,57,0)","(0, -0.74, 0.67)",0.11,0.22
2014,"(3.47, 1.26, 1.36)","(243,57,0)","(0.01, -0.75, 0.66)",0.81,1.44
2014,"(5.26, 1.66, 1.77)","(243,57,0)","(0.02, -0.75, 0.66)",1.88,3.35
2014,"(4.65, 1.27, 1.34)","(243,57,0)","(-0.02, 0.75, -0.66)",0.84,3.11
2014,"(2.38, 0.58, 0.61)","(243,57,0)","(-0.01, 0.75, -0.66)",1.92,0.52
2014,"(2.46, 0.51, 0.53)","(243,57,0)","(-0.08, 0.92, -0.39)",0.13,2.83
2014,"(4.17, 1.18, 1.24)","(243,57,0)","(-0.02, 0.75, -0.66)",1.35,1.94
2014,"(3.26, 0.83, 0.88)","(243,57,0)","(-0.02, 0.75, -0.66)",1.04,1.96
2014,"(1.9, 0.44, 0.45)","(243,57,0)","(-0.02, 0.78, -0.63)",1.48,2.06
2014,"(0.82, 0.3, 0.32)","(243,57,0)","(-0.05, -0.7, 0.72)",1.1,9.83
2014,"(2.39, 0.62, 0.65)","(243,57,0)","(0.01, -0.75, 0.66)",1.64,7.55
2014,"(4.04, 0.95, 0.99)","(243,57,0)","(0.01, -0.74, 0.67)",1.72,1.84
2014,"(2.87, 0.68, 0.71)","(243,57,0)","(-0.01, 0.75, -0.67)",1.23,0.15
2014,"(8.28, 2.36, 2.49)","(243,57,0)","(0.02, -0.75, 0.66)",5.94,3.6
2014,"(11.18, 3.5, 3.73)","(243,57,0)","(-0.02, 0.75, -0.66)",3.35,2.08
