Minor_dist,Minor_link,Minor_points
16,14,({379, 221, 0}{379, 237, 0})
26.83,6,({379, 221, 0}{355, 209, 0})
40.45,12,({379, 221, 0}{385, 181, 0})
50.16,0,({379, 221, 0}{333, 201, 0})
40.45,11,({385, 181, 0}{379, 221, 0})
41.04,6,({385, 181, 0}{355, 209, 0})
52.83,4,({385, 181, 0}{334.5, 165.5, 0})
53.02,3,({385, 181, 0}{334, 166.5, 0})
55.71,0,({385, 181, 0}{333, 201, 0})
0.71,14,({378.5, 236.5, 0}{379, 237, 0})
15.51,11,({378.5, 236.5, 0}{379, 221, 0})
36.17,6,({378.5, 236.5, 0}{355, 209, 0})
55.88,12,({378.5, 236.5, 0}{385, 181, 0})
57.71,0,({378.5, 236.5, 0}{333, 201, 0})
0.71,13,({379, 237, 0}{378.5, 236.5, 0})
16,11,({379, 237, 0}{379, 221, 0})
36.88,6,({379, 237, 0}{355, 209, 0})
56.32,12,({379, 237, 0}{385, 181, 0})
58.41,0,({379, 237, 0}{333, 201, 0})
22.64,16,({304.5, 278.5, 0}{282, 276, 0})
82.57,0,({304.5, 278.5, 0}{333, 201, 0})
85.09,13,({304.5, 278.5, 0}{378.5, 236.5, 0})
85.28,14,({304.5, 278.5, 0}{379, 237, 0})
85.91,6,({304.5, 278.5, 0}{355, 209, 0})
22.64,15,({282, 276, 0}{304.5, 278.5, 0})
90.7,0,({282, 276, 0}{333, 201, 0})
97.86,8,({282, 276, 0}{246, 185, 0})
98,1,({282, 276, 0}{282, 178, 0})
98.15,7,({282, 276, 0}{246.5, 184.5, 0})
68.28,2,({310.5, 156.5, 0}{248, 184, 0})
68.71,3,({310.5, 156.5, 0}{246.5, 181.5, 0})
72.52,1,({310.5, 156.5, 0}{337, 224, 0})
73.83,8,({310.5, 156.5, 0}{237, 149.5, 0})
76.5,4,({310.5, 156.5, 0}{356, 218, 0})
19.92,4,({337, 224, 0}{356, 218, 0})
24.7,6,({337, 224, 0}{358, 237, 0})
37.83,5,({337, 224, 0}{310.5, 251, 0})
42.57,10,({337, 224, 0}{379.5, 226.5, 0})
59.94,12,({337, 224, 0}{309, 277, 0})
2.92,3,({248, 184, 0}{246.5, 181.5, 0})
20.6,7,({248, 184, 0}{227.5, 186, 0})
36.21,8,({248, 184, 0}{237, 149.5, 0})
40.13,16,({248, 184, 0}{213.5, 204.5, 0})
40.13,15,({248, 184, 0}{213.5, 204.5, 0})
2.92,2,({246.5, 181.5, 0}{248, 184, 0})
19.53,7,({246.5, 181.5, 0}{227.5, 186, 0})
33.38,8,({246.5, 181.5, 0}{237, 149.5, 0})
40.22,16,({246.5, 181.5, 0}{213.5, 204.5, 0})
40.22,15,({246.5, 181.5, 0}{213.5, 204.5, 0})
19.1,6,({356, 218, 0}{358, 237, 0})
19.92,1,({356, 218, 0}{337, 224, 0})
24.99,10,({356, 218, 0}{379.5, 226.5, 0})
47.01,9,({356, 218, 0}{385, 181, 0})
56.21,5,({356, 218, 0}{310.5, 251, 0})
26.04,12,({310.5, 251, 0}{309, 277, 0})
26.04,11,({310.5, 251, 0}{309, 277, 0})
36.94,14,({310.5, 251, 0}{287, 279.5, 0})
36.94,13,({310.5, 251, 0}{287, 279.5, 0})
37.83,1,({310.5, 251, 0}{337, 224, 0})
19.1,4,({358, 237, 0}{356, 218, 0})
23.93,10,({358, 237, 0}{379.5, 226.5, 0})
24.7,1,({358, 237, 0}{337, 224, 0})
49.52,5,({358, 237, 0}{310.5, 251, 0})
62.17,9,({358, 237, 0}{385, 181, 0})
19.53,3,({227.5, 186, 0}{246.5, 181.5, 0})
20.6,2,({227.5, 186, 0}{248, 184, 0})
23.2,16,({227.5, 186, 0}{213.5, 204.5, 0})
23.2,15,({227.5, 186, 0}{213.5, 204.5, 0})
37.72,8,({227.5, 186, 0}{237, 149.5, 0})
33.38,3,({237, 149.5, 0}{246.5, 181.5, 0})
36.21,2,({237, 149.5, 0}{248, 184, 0})
37.72,7,({237, 149.5, 0}{227.5, 186, 0})
59.81,16,({237, 149.5, 0}{213.5, 204.5, 0})
59.81,15,({237, 149.5, 0}{213.5, 204.5, 0})
45.83,10,({385, 181, 0}{379.5, 226.5, 0})
47.01,4,({385, 181, 0}{356, 218, 0})
62.17,6,({385, 181, 0}{358, 237, 0})
64.44,1,({385, 181, 0}{337, 224, 0})
78.43,0,({385, 181, 0}{310.5, 156.5, 0})
23.93,6,({379.5, 226.5, 0}{358, 237, 0})
24.99,4,({379.5, 226.5, 0}{356, 218, 0})
42.57,1,({379.5, 226.5, 0}{337, 224, 0})
45.83,9,({379.5, 226.5, 0}{385, 181, 0})
73.22,5,({379.5, 226.5, 0}{310.5, 251, 0})
0,12,({309, 277, 0}{309, 277, 0})
22.14,14,({309, 277, 0}{287, 279.5, 0})
22.14,13,({309, 277, 0}{287, 279.5, 0})
26.04,5,({309, 277, 0}{310.5, 251, 0})
44.05,18,({309, 277, 0}{265, 275, 0})
0,11,({309, 277, 0}{309, 277, 0})
22.14,14,({309, 277, 0}{287, 279.5, 0})
22.14,13,({309, 277, 0}{287, 279.5, 0})
