Major_dist,Major_link,Major_points
21.47,23,({276.5, 260.5, 0}{295.5, 250.5, 0})
23.48,14,({276.5, 260.5, 0}{287, 239.5, 0})
0,37,({276.5, 260.5, 0}{276.5, 260.5, 0})
6.26,26,({276.5, 260.5, 0}{273.5, 255, 0})
9.49,46,({276.5, 260.5, 0}{273.5, 269.5, 0})
21.47,23,({276.5, 260.5, 0}{295.5, 250.5, 0})
23.48,14,({276.5, 260.5, 0}{287, 239.5, 0})
2.24,42,({250, 254, 0}{249, 256, 0})
2.5,44,({250, 254, 0}{248.5, 256, 0})
10.26,50,({250, 254, 0}{243, 261.5, 0})
17.59,45,({250, 254, 0}{233, 249.5, 0})
18.2,15,({250, 254, 0}{261, 239.5, 0})
4.72,28,({234, 243, 0}{236.5, 239, 0})
4.72,27,({234, 243, 0}{236.5, 239, 0})
6.58,45,({234, 243, 0}{233, 249.5, 0})
11.24,35,({234, 243, 0}{228, 233.5, 0})
18.12,41,({234, 243, 0}{222.5, 229, 0})
7.11,35,({222.5, 229, 0}{228, 233.5, 0})
10.05,30,({222.5, 229, 0}{221.5, 219, 0})
17.2,28,({222.5, 229, 0}{236.5, 239, 0})
17.2,27,({222.5, 229, 0}{236.5, 239, 0})
18.12,40,({222.5, 229, 0}{234, 243, 0})
0.5,44,({249, 256, 0}{248.5, 256, 0})
2.24,39,({249, 256, 0}{250, 254, 0})
8.14,50,({249, 256, 0}{243, 261.5, 0})
17.27,45,({249, 256, 0}{233, 249.5, 0})
19.85,40,({249, 256, 0}{234, 243, 0})
8.25,48,({214.5, 181, 0}{206.5, 183, 0})
9.9,31,({214.5, 181, 0}{221.5, 174, 0})
10.97,29,({214.5, 181, 0}{222.5, 173.5, 0})
12.5,34,({214.5, 181, 0}{222, 171, 0})
12.5,20,({214.5, 181, 0}{226.5, 184.5, 0})
0.5,42,({248.5, 256, 0}{249, 256, 0})
2.5,39,({248.5, 256, 0}{250, 254, 0})
7.78,50,({248.5, 256, 0}{243, 261.5, 0})
16.81,45,({248.5, 256, 0}{233, 249.5, 0})
