time points - x,y,z
{-95.920616, -98.032319, 9.542853}
{-86.483989, -98.133349, 9.76076}
{-75.587629, -98.197184, 9.87812}
{-64.57724, -98.209594, 9.893147}
{-53.574364, -98.15654, 9.815498}
{-42.429009, -98.056522, 9.642011}
{-31.486971, -97.930897, 9.381641}
{-21.360519, -97.811522, 9.050411}
{-13.211347, -97.934703, 8.736279}
{-4.828829, -98.134527, 8.431214}
{5.401877, -98.210897, 8.489908}
{16.257365, -98.170943, 8.412229}
{27.203969, -98.09671, 8.257659}
{38.210011, -97.995549, 8.030551}
{49.225691, -97.876126, 7.736587}
{60.169351, -97.746905, 7.382021}
{70.892992, -97.615163, 6.973076}
{81.11016, -97.486423, 6.51569}
{90.258227, -97.363919, 6.015827}
{97.246474, -97.246474, 5.48171}
{-96.073096, -97.989872, 9.928155}
{-86.802483, -98.115328, 10.184875}
{-75.759777, -98.199703, 10.334668}
{-64.644604, -98.231415, 10.366605}
{-53.64039, -98.179075, 10.304816}
{-42.329356, -98.068818, 10.136619}
{-31.072514, -97.922226, 9.870959}
{-20.227827, -97.765701, 9.518823}
{-10.436794, -97.633199, 9.090797}
{-2.367222, -97.809061, 8.688621}
{6.27466, -98.18579, 8.478038}
{16.26843, -98.192269, 8.421594}
{27.225057, -98.117488, 8.267007}
{38.243108, -98.01559, 8.039475}
{49.271667, -97.895631, 7.74443}
{60.226722, -97.765561, 7.387827}
{70.956515, -97.632993, 6.975532}
{81.169848, -97.502968, 6.513207}
{90.300575, -97.379606, 6.0068}
{97.261276, -97.261276, 5.465773}
{-96.249463, -97.89168, 10.245049}
{-87.198644, -98.045038, 10.541551}
{-76.333787, -98.161171, 10.726964}
{-65.350381, -98.216411, 10.790646}
{-54.057684, -98.169812, 10.753351}
{-42.378999, -98.058325, 10.594746}
{-30.911487, -97.895041, 10.333575}
{-19.683002, -97.713689, 9.979555}
{-9.094546, -97.541998, 9.54814}
{0.165007, -97.503614, 9.070219}
{8.009124, -97.750466, 8.652932}
{16.934301, -98.115376, 8.401612}
{27.214103, -98.106731, 8.262175}
{38.225904, -98.005214, 8.034858}
{49.247755, -97.885379, 7.740376}
{60.196887, -97.755726, 7.38483}
{70.923501, -97.623557, 6.974276}
{81.138871, -97.494404, 6.514512}
{90.278635, -97.371488, 6.011501}
{97.253618, -97.253618, 5.474052}
{-96.463735, -97.775966, 10.519699}
{-87.712083, -97.961463, 10.867741}
{-76.881893, -98.115006, 11.103413}
{-65.602571, -98.204369, 11.210964}
{-54.179703, -98.186343, 11.199875}
{-42.525004, -98.072685, 11.06505}
{-30.849872, -97.894265, 10.814557}
{-19.316823, -97.689236, 10.461966}
{-8.217044, -97.488817, 10.024743}
{2.069708, -97.314523, 9.520777}
{10.834893, -97.446596, 8.984128}
{18.603452, -97.775235, 8.532984}
{27.723943, -98.025188, 8.253086}
{38.234355, -98.010323, 8.037132}
{49.259496, -97.89027, 7.742376}
{60.211545, -97.760716, 7.386303}
{70.939717, -97.627994, 6.974902}
{81.154102, -97.498621, 6.513875}
{90.289432, -97.375486, 6.009194}
{97.25739, -97.25739, 5.469983}
{-96.691754, -97.604723, 10.705353}
{-88.30536, -97.819998, 11.104433}
{-77.590742, -98.014701, 11.397109}
{-65.956268, -98.148313, 11.562323}
{-54.383911, -98.180661, 11.586757}
{-42.839137, -98.075065, 11.486368}
{-30.98277, -97.885906, 11.254858}
{-19.20223, -97.659983, 10.911317}
{-7.746261, -97.43426, 10.477029}
{3.135328, -97.232415, 9.972205}
{13.13101, -97.069165, 9.414581}
{21.594768, -97.311923, 8.831612}
{29.370166, -97.703868, 8.347087}
{38.624675, -97.887321, 8.027727}
{49.223193, -97.875073, 7.736156}
{60.166234, -97.745901, 7.381701}
{70.889536, -97.614208, 6.972938}
{81.106903, -97.485515, 6.515821}
{90.255907, -97.363057, 6.016316}
{97.24566, -97.24566, 5.482578}
{-96.956793, -97.431435, 10.86135}
{-89.041925, -97.673757, 11.328975}
{-78.549637, -97.911699, 11.695646}
{-66.944582, -98.10891, 11.92959}
{-55.146686, -98.200327, 12.01289}
{-43.277979, -98.129873, 11.958318}
{-31.188201, -97.935232, 11.759877}
{-19.105167, -97.684437, 11.431938}
{-7.301337, -97.429812, 10.999439}
{4.020394, -97.199676, 10.486886}
{14.678815, -97.00727, 9.915084}
{24.440119, -96.860764, 9.294594}
{32.761574, -97.162468, 8.659273}
{40.505103, -97.589899, 8.123317}
{49.733776, -97.771975, 7.751083}
{60.242851, -97.770684, 7.389435}
{70.974342, -97.637872, 6.9762}
{81.186544, -97.507564, 6.512489}
{90.312366, -97.383961, 6.004251}
{97.265382, -97.265382, 5.461303}
{-97.181389, -97.181389, 10.868264}
{-89.734472, -97.43391, 11.382937}
{-79.588086, -97.699828, 11.812911}
{-68.023062, -97.953701, 12.12392}
{-56.007521, -98.126256, 12.283983}
{-43.962886, -98.124147, 12.285451}
{-31.737831, -97.94411, 12.130562}
{-19.428774, -97.677416, 11.828928}
{-7.36292, -97.396676, 11.411407}
{4.27122, -97.140487, 10.907696}
{15.37161, -96.923176, 10.341514}
{25.845109, -96.749617, 9.73046}
{35.534972, -96.628498, 9.084532}
{43.989573, -96.956238, 8.438504}
{51.73177, -97.364822, 7.866998}
{60.732686, -97.575276, 7.394292}
{70.899735, -97.604564, 6.963827}
{81.093119, -97.481667, 6.516374}
{90.24608, -97.359405, 6.01838}
{97.242212, -97.242212, 5.486248}
{-97.431435, -96.956793, 10.86135}
{-90.539439, -97.21065, 11.441743}
{-80.876297, -97.493833, 11.953254}
{-69.487776, -97.794438, 12.355843}
{-57.24177, -98.056644, 12.608897}
{-44.883116, -98.164832, 12.684734}
{-32.421959, -98.030791, 12.599926}
{-19.765839, -97.74966, 12.34387}
{-7.311631, -97.434914, 11.947026}
{4.690541, -97.145049, 11.446772}
{16.158521, -96.898611, 10.873725}
{27.074703, -96.698215, 10.250006}
{37.406881, -96.542318, 9.590897}
{47.056743, -96.430451, 8.901101}
{55.650563, -96.713433, 8.220744}
