density points - x,y,z
{68.860343, -90.595242, 5.038058}
{78.027531, -91.020659, 5.041108}
{91.308409, -91.308409, 5.135088}
{-94.082632, -87.910381, 5.036807}
{-83.699944, -87.169213, 5.027379}
{-74.564083, -86.617953, 5.037929}
{-65.40413, -86.595345, 5.038774}
{-56.239034, -87.11738, 5.028348}
{-47.132528, -87.897174, 5.015798}
{-38.057967, -88.697465, 4.998491}
{-27.336698, -88.231748, 4.965774}
{-15.535434, -87.062556, 5.056275}
{-4.813999, -86.575251, 5.055114}
{4.638496, -86.461777, 5.041257}
{13.902203, -86.877826, 5.043138}
{23.123063, -87.520635, 5.040685}
{32.305853, -88.234059, 5.03677}
{41.460596, -88.929858, 5.033324}
{50.600268, -89.566481, 5.031187}
{59.73861, -90.12961, 5.030665}
{68.88856, -90.61911, 5.031813}
{78.061278, -91.041255, 5.034564}
{91.32715, -91.32715, 5.114292}
{-93.947218, -88.293788, 5.020073}
{-83.477478, -87.491852, 5.007591}
{-74.467908, -86.836222, 5.018286}
{-65.372119, -86.720353, 5.022335}
{-56.215931, -87.2287, 5.012144}
{-47.169363, -88.052018, 4.999485}
{-38.172566, -88.91059, 4.988829}
{-28.959488, -89.37637, 4.956379}
{-17.686054, -87.80705, 4.987104}
{-5.991089, -86.627393, 5.084305}
{4.63843, -86.458312, 5.041946}
{13.902005, -86.874655, 5.043758}
{23.122721, -87.517892, 5.041213}
{32.30535, -88.231745, 5.037213}
{41.459906, -88.927921, 5.033701}
{50.599367, -89.564855, 5.03152}
{59.737474, -90.128234, 5.030976}
{68.887169, -90.617934, 5.032122}
{78.059614, -91.040241, 5.034887}
{91.326227, -91.326227, 5.115319}
{-93.755687, -88.67186, 5.010588}
{-83.158153, -87.79151, 4.987984}
{-74.325687, -86.968357, 5.003713}
{-65.307872, -86.687031, 5.016058}
{-56.146709, -87.16699, 5.001864}
{-47.171017, -88.064933, 4.983387}
{-38.256446, -89.002262, 4.968219}
{-29.360613, -89.786175, 4.959039}
{-19.819811, -89.543001, 4.922983}
{-8.222733, -87.384017, 5.062131}
{3.291654, -86.483187, 5.155497}
{13.79683, -86.731606, 5.080213}
{23.093088, -87.386357, 5.067471}
{32.278685, -88.120397, 5.058593}
{41.426403, -88.834823, 5.051748}
{50.556301, -89.48686, 5.047409}
{59.683362, -90.062389, 5.045767}
{68.820915, -90.56178, 5.046761}
{77.980364, -90.991822, 5.050206}
{91.282132, -91.282136, 5.164036}
{-93.518905, -89.285922, 4.988966}
{-82.715239, -88.401459, 4.963047}
{-73.817155, -87.464152, 4.978474}
{-64.698682, -86.987871, 4.990402}
{-55.754388, -87.332995, 4.978074}
{-47.042379, -88.221696, 4.965101}
{-38.226515, -89.197884, 4.952454}
{-29.423217, -90.048833, 4.94371}
{-20.571486, -90.564621, 4.936781}
{-10.653118, -89.417515, 4.894563}
{1.050844, -87.435883, 5.033063}
{12.566716, -87.05561, 5.133842}
{22.932495, -87.483854, 5.065103}
{32.257189, -88.183093, 5.049805}
{41.434696, -88.884368, 5.042961}
{50.575883, -89.527807, 5.039325}
{59.710524, -90.096813, 5.038137}
{68.855015, -90.591086, 5.039176}
{78.021471, -91.017067, 5.04226}
{91.305082, -91.305137, 5.138717}
{-93.211999, -89.902935, 4.971989}
{-82.155125, -89.052978, 4.933843}
{-73.382422, -88.046385, 4.948436}
{-64.492245, -87.363207, 4.961232}
{-55.656099, -87.47346, 4.957283}
{-46.900696, -88.287355, 4.94437}
{-38.155329, -89.300479, 4.930719}
