timestep, mesh 1 face centerpoint, mesh 1 color code, mesh 1 normal, Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance, Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
42,(-46.25, 44.25, 15),(242,51,11),(-0.33, -0.21, -0.92),0,0,
43,(-48, -48, 15.25),(243,57,0),(0.18, -0.29, -0.94),0,0,
43,(-48, -48, 15.25),(238,36,41),(0.18, -0.29, -0.94),0,0,
43,(-48, -48, 15.25),(242,52,10),(0.18, -0.29, -0.94),0,0,
44,(47.25, -47.75, 15.5),(243,57,0),(0.12, 0.26, 0.96),0,0,
44,(47.25, -47.75, 15.5),(238,37,41),(0.12, 0.26, 0.96),0,0,
44,(47.25, -47.75, 15.5),(242,52,10),(0.12, 0.26, 0.96),0,0,
45,(47.5, 49, 15.75),(243,57,0),(-0.42, 0.3, 0.85),0,0,
45,(47.5, 49, 15.75),(238,37,40),(-0.42, 0.3, 0.85),0,0,
45,(47.5, 49, 15.75),(242,52,10),(-0.42, 0.3, 0.85),0,0,
46,(-50.75, 48.75, 16),(243,57,0),(-0.34, -0.21, -0.92),0,0,
46,(-50.75, 48.75, 16),(238,37,40),(-0.34, -0.21, -0.92),0,0,
46,(-50.75, 48.75, 16),(242,52,10),(-0.34, -0.21, -0.92),0,0,
47,(-53, -53, 16.25),(243,57,0),(0.17, -0.29, -0.94),0,0,
47,(-53, -53, 16.25),(239,39,36),(0.17, -0.29, -0.94),0,0,
47,(-53, -53, 16.25),(242,53,8),(0.17, -0.29, -0.94),0,0,
48,(54.75, -55.25, 16.5),(243,57,0),(0.13, 0.26, 0.96),0,0,
48,(54.75, -55.25, 16.5),(239,40,33),(0.13, 0.26, 0.96),0,0,
48,(54.75, -55.25, 16.5),(242,53,8),(0.13, 0.26, 0.96),0,0,
49,(55, 56.5, 16.75),(243,57,0),(-0.42, 0.3, 0.85),0,0,
49,(55, 56.5, 16.75),(239,41,33),(-0.42, 0.3, 0.85),0,0,
49,(55, 56.5, 16.75),(242,53,7),(-0.42, 0.3, 0.85),0,0,
50,(-58.25, 56.25, 17),(243,57,0),(-0.34, -0.21, -0.92),0,0,
50,(-58.25, 56.25, 17),(239,41,32),(-0.34, -0.21, -0.92),0,0,
50,(-58.25, 56.25, 17),(242,53,7),(-0.34, -0.21, -0.92),0,0,
51,(-58.5, -58.5, 17.25),(243,57,0),(0.16, -0.29, -0.94),0,0,
51,(-58.5, -58.5, 17.25),(239,41,31),(0.16, -0.29, -0.94),0,0,
51,(-58.5, -58.5, 17.25),(242,54,7),(0.16, -0.29, -0.94),0,0,
